Country Name,Country Code,Classification Name,Classification Code,Series Name,Series Code,2011 [YR2011],Region 
Denmark,DNK,02. Actual individual consumption,C02,REAL EXPENDITURES PER CAPITA (US$),S06,26288.48474,Eurostat-OECD
Denmark,DNK,02. Actual individual consumption,C02,PRICE LEVEL INDEX (World = 100),S08,196.4463338,Eurostat-OECD
Djibouti,DJI,01. Gross domestic product,C01,REAL EXPENDITURES PER CAPITA (US$),S06,2411.893819,AFRICA
Djibouti,DJI,01. Gross domestic product,C01,PRICE LEVEL INDEX (World = 100),S08,68.20757757,AFRICA
Djibouti,DJI,02. Actual individual consumption,C02,REAL EXPENDITURES PER CAPITA (US$),S06,1719.401883,AFRICA
Djibouti,DJI,02. Actual individual consumption,C02,PRICE LEVEL INDEX (World = 100),S08,66.08724319,AFRICA
Dominica,DMA,01. Gross domestic product,C01,REAL EXPENDITURES PER CAPITA (US$),S06,9982.936221,CARIBBEAN
Dominica,DMA,01. Gross domestic product,C01,PRICE LEVEL INDEX (World = 100),S08,88.88435787,CARIBBEAN
Dominica,DMA,02. Actual individual consumption,C02,REAL EXPENDITURES PER CAPITA (US$),S06,8663.954578,CARIBBEAN
Dominica,DMA,02. Actual individual consumption,C02,PRICE LEVEL INDEX (World = 100),S08,88.82245102,CARIBBEAN
Dominican Republic,DOM,01. Gross domestic product,C01,REAL EXPENDITURES PER CAPITA (US$),S06,10857.88046,LATIN AMERICA
Dominican Republic,DOM,01. Gross domestic product,C01,PRICE LEVEL INDEX (World = 100),S08,65.8100588,LATIN AMERICA
Dominican Republic,DOM,02. Actual individual consumption,C02,REAL EXPENDITURES PER CAPITA (US$),S06,9721.592322,LATIN AMERICA
Dominican Republic,DOM,02. Actual individual consumption,C02,PRICE LEVEL INDEX (World = 100),S08,63.15803269,LATIN AMERICA
Ecuador,ECU,01. Gross domestic product,C01,REAL EXPENDITURES PER CAPITA (US$),S06,9931.535956,LATIN AMERICA
Ecuador,ECU,01. Gross domestic product,C01,PRICE LEVEL INDEX (World = 100),S08,67.85233967,LATIN AMERICA
Ecuador,ECU,02. Actual individual consumption,C02,REAL EXPENDITURES PER CAPITA (US$),S06,6759.05214,LATIN AMERICA
Ecuador,ECU,02. Actual individual consumption,C02,PRICE LEVEL INDEX (World = 100),S08,64.63849264,LATIN AMERICA
"Egypt, Arab Rep. ",EGZ,01. Gross domestic product,C01,REAL EXPENDITURES PER CAPITA (US$),S06,10598.53426,WESTERN ASIA
"Egypt, Arab Rep. ",EGZ,01. Gross domestic product,C01,PRICE LEVEL INDEX (World = 100),S08,35.13231393,WESTERN ASIA
"Egypt, Arab Rep. ",EGZ,02. Actual individual consumption,C02,REAL EXPENDITURES PER CAPITA (US$),S06,8529.305323,WESTERN ASIA
"Egypt, Arab Rep. ",EGZ,02. Actual individual consumption,C02,PRICE LEVEL INDEX (World = 100),S08,33.56244617,WESTERN ASIA
El Salvador,SLV,01. Gross domestic product,C01,REAL EXPENDITURES PER CAPITA (US$),S06,7357.217614,LATIN AMERICA
El Salvador,SLV,01. Gross domestic product,C01,PRICE LEVEL INDEX (World = 100),S08,64.86804462,LATIN AMERICA
El Salvador,SLV,02. Actual individual consumption,C02,REAL EXPENDITURES PER CAPITA (US$),S06,7285.406808,LATIN AMERICA
El Salvador,SLV,02. Actual individual consumption,C02,PRICE LEVEL INDEX (World = 100),S08,62.3518676,LATIN AMERICA
